or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.3924+-121.9623,3169.0,5039.0,52.81666666666667,83.98333333333333,santa clara,"1BR/1BA w/ Attached Garage, Stainless Appliances, & Granite Counters.",2671.0,1.0,4527106797.0,2014-06-18,http://sfbay.craigslist.org/sby/apa/4527106797.html,835.0,http://sfbay.craigslist.org/apa/index1500.html,-121.9623,37.3924,3.1988023952095808,sfbay,908
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72.5,danville / san ramon,San Ramon can be affordable,NA,NA,4493364843.0,2014-05-28,http://sfbay.craigslist.org/eby/apa/4493364843.html,NA,http://sfbay.craigslist.org/apa/index300.html,-121.9155,37.7636,NA,sfbay,47
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72.5,danville / san ramon,"""!!Don't Compromise On the Quality!!""",2514.0,2.0,4552077158.0,2014-07-03,http://sfbay.craigslist.org/eby/apa/4552077158.html,900.0,http://sfbay.craigslist.org/apa/index400.html,-121.9155,37.7636,2.7933333333333334,sfbay,104
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72.5,danville / san ramon,3RD FLOOR/DETACH GARAGE READY TO MOVE IN NOW!!,2204.0,2.0,4491477051.0,2014-05-27,http://sfbay.craigslist.org/eby/apa/4491477051.html,1088.0,http://sfbay.craigslist.org/apa/index500.html,-121.9155,37.7636,2.025735294117647,sfbay,198
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72.5,danville / san ramon,"Apt for Rent in San Ramon, Move in immediately",1250.0,1.0,4550562259.0,2014-07-02,http://sfbay.craigslist.org/eby/apa/4550562259.html,600.0,http://sfbay.craigslist.org/apa/index400.html,-121.9155,37.7636,2.0833333333333335,sfbay,324
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72.5,danville / san ramon,New and ready for move in,2125.0,2.0,4497558271.0,2014-05-31,http://sfbay.craigslist.org/eby/apa/4497558271.html,1102.0,http://sfbay.craigslist.org/apa/index1200.html,-121.9155,37.7636,1.928312159709619,sfbay,387
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72.5,danville / san ramon,Call to see if you might qualify for our Affordable program,1356.0,NA,4525143711.0,2014-06-17,http://sfbay.craigslist.org/eby/apa/4525143711.html,NA,http://sfbay.craigslist.org/apa/index2000.html,-121.9155,37.7636,NA,sfbay,820
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72.5,danville / san ramon,Amazing summer with a new amazing apartment,1967.0,1.0,4536683540.0,2014-06-24,http://sfbay.craigslist.org/eby/apa/4536683540.html,712.0,http://sfbay.craigslist.org/apa/index2300.html,-121.9155,37.7636,2.7626404494382024,sfbay,863
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72.5,danville / san ramon,Great Location with Stellar views...Highlands Point Apartments!,2214.0,2.0,4468137969.0,2014-05-13,http://sfbay.craigslist.org/eby/apa/4468137969.html,1102.0,http://sfbay.craigslist.org/apa/index2800.html,-121.9155,37.7636,2.0090744101633393,sfbay,994
37.814692+-122.243833,1263.0,2429.0,21.05,40.483333333333334,oakland piedmont / montclair,Luxury Condolike 1 bd *OPEN SATURDAY *at top of hill w/view*,1695.0,1.0,4439968050.0,2014-05-11,http://sfbay.craigslist.org/eby/apa/4439968050.html,NA,http://sfbay.craigslist.org/apa/index800.html,-122.243833,37.814692,NA,sfbay,48
